Id,Type,Code,Name,Status,IsPrgCreatedDate,IsPrgUpdatedDate,IsPrgCreatedUserId,IsPrgUpdatedUserId
72,NULL,NULL,Lốc,1,2017-04-14 13:19:25.257,NULL,3,NULL
73,NULL,NULL,xô,1,2017-04-16 17:36:09.073,NULL,3,NULL
74,NULL,NULL,bánh xe,1,2017-04-29 17:56:16.540,NULL,4,NULL
75,NULL,NULL,chuyến,1,2017-05-17 18:33:14.703,NULL,3,NULL
76,NULL,NULL,Lô,1,2017-06-04 17:21:29.247,NULL,5,NULL
77,NULL,NULL,chiếc,1,2017-07-08 16:48:11.867,NULL,5,NULL
78,NULL,NULL,m2,1,2017-07-13 17:18:02.397,NULL,3,NULL
79,NULL,NULL,Bộ xô nhỏ,1,2017-07-19 13:40:46.770,NULL,5,NULL
80,NULL,NULL,thùng xốp trung,1,2017-12-22 18:10:48.120,NULL,5,NULL
81,NULL,NULL,Hủ,1,2017-12-26 20:07:32.980,NULL,5,NULL
82,NULL,NULL,Kiện cây,1,2018-04-11 19:47:22.610,NULL,5,NULL
83,NULL,NULL,Bộ,1,2018-04-28 16:24:27.317,NULL,5,NULL
84,NULL,NULL,Hộp vuông,1,2018-06-29 20:22:09.903,NULL,5,NULL
85,NULL,NULL,bao vải,1,2018-08-20 10:01:52.600,NULL,5,NULL
86,NULL,NULL,bếp,1,2018-08-22 16:11:55.170,NULL,5,NULL
87,NULL,NULL,Lon,1,2018-09-20 09:09:07.393,NULL,5,NULL
88,NULL,NULL,thùng kim,1,2018-09-22 09:54:52.220,NULL,5,NULL
89,NULL,NULL,bao lúa,1,2018-09-24 16:03:22.820,NULL,5,NULL
90,NULL,NULL,Kiện trục,1,2018-09-25 17:32:49.447,NULL,5,NULL
91,NULL,NULL,Bao thùng tròn,1,2018-10-02 13:36:27.603,NULL,5,NULL
92,NULL,NULL,kiện đôi,1,2018-10-15 20:59:21.420,NULL,5,NULL
93,NULL,NULL,kiện đơn,1,2018-10-15 20:59:53.113,NULL,5,NULL
94,NULL,NULL,bao lớn,1,2018-10-15 21:07:12.197,NULL,5,NULL
95,NULL,NULL,bao nhỏ,1,2018-10-15 21:07:23.010,NULL,5,NULL
96,NULL,NULL,kiện máy,1,2018-10-16 17:05:23.940,NULL,3,NULL
97,NULL,NULL,kiện xốp,1,2018-10-16 17:05:38.373,NULL,3,NULL
98,NULL,NULL,kiện nhỏ,1,2018-10-16 17:40:14.643,NULL,3,NULL
99,NULL,NULL,thùng dài,1,2018-10-16 17:43:47.180,NULL,3,NULL
100,NULL,NULL,kiện lồng lớn,1,2018-10-18 17:33:40.933,NULL,5,NULL
101,NULL,NULL,kiện lồng nhỏ,1,2018-10-18 17:33:54.807,NULL,5,NULL
102,NULL,NULL,thùng dài nhỏ,1,2018-10-18 17:56:29.677,NULL,5,NULL
