Id,Type,Code,Name,KieuSo,KieuSo1,KieuSo2,KieuSo3,KieuChu,KieuChu1,KieuChu2,KieuChu3,KieuNgay,KieuNgay1,Status,IsPrgCreatedDate,IsPrgUpdatedDate,IsPrgCreatedUserId,IsPrgUpdatedUserId
368,NULL,NULL,ស​Zin2​ (trắng zin2) 6x11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-03-28 18:26:39.453,2019-06-27 16:30:42.397,3,3
369,NULL,NULL,ថង់ស្រួយ​ (PP) 12x20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-04-04 18:13:14.993,2019-06-27 15:47:22.907,3,3
370,NULL,NULL,PP 24x30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-04-04 18:19:13.127,NULL,3,NULL
371,NULL,NULL,ថង់ស្រួយ​ (PP) 40x60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-04-04 18:22:22.743,2019-06-27 15:47:03.077,3,3
372,NULL,NULL,ដៃកណ្ដាលពណ៏ (QX màu) 17x26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-04-04 18:50:19.400,2019-06-27 18:51:13.100,3,3
373,NULL,NULL,ថង់កូនឈើ (trồng cây) 5x13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-04-04 19:10:11.180,2019-06-29 10:43:49.693,3,3
374,NULL,NULL,ថង់ស្រួយ​ (PP) 35x50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-04-20 20:41:15.867,2019-06-27 15:46:50.480,3,3
375,NULL,NULL,ដៃកណ្ដាលពណ៏ (QX màu) 15x23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-05-05 15:54:56.847,2019-06-27 18:50:44.220,3,3
376,NULL,NULL,ដៃកណ្ដាលរូប​ (QX in) 15x23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-05-16 13:58:36.683,2019-06-27 18:42:32.330,3,3
377,NULL,NULL,ថ្លាទន់(PE trong) 70x120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-05-16 14:05:56.803,2019-06-27 16:04:45.067,3,3
378,NULL,NULL,ស​Zin​1 (trắng zin1) 60x100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-05-16 14:15:56.740,2019-06-28 16:45:05.313,3,3
379,NULL,NULL,ថ្លាទន់(PE trong) 60x110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-05-16 14:16:42.623,2019-06-27 16:04:16.150,3,3
380,NULL,NULL,ថ្លាទន់(PE trong) 80x120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-05-16 14:16:51.660,2019-06-27 15:59:19.767,3,3
381,NULL,NULL,ថង់ស្រួយ​ (PP)​ 30x45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-06-16 12:57:06.200,2019-06-27 21:01:35.323,3,3
382,NULL,NULL,ថង់ស្រួយ​ (PP) 60x100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-06-16 13:03:29.860,2019-06-27 15:46:38.343,3,3
383,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-06-22 15:59:40.867,2019-06-22 16:40:52.893,8,8
384,NULL,NULL,ថង់ស្រួយ​ (PP) 30x45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-08-02 18:01:40.630,NULL,3,NULL
385,NULL,NULL,ថង់ស្រួយ​ (PP) 14x42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-08-02 18:07:24.897,NULL,3,NULL
386,NULL,NULL,ស​Zin1 (trắng zin1) 5x9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-08-02 18:34:53.320,NULL,3,NULL
387,NULL,NULL,OPP 10x27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-14 14:31:23.733,NULL,5,NULL
388,NULL,NULL,"OPP 10,8 x27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-14 14:32:45.193,NULL,5,NULL
389,NULL,NULL,"OPP 11,8 x27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-14 14:34:06.183,NULL,5,NULL
390,NULL,NULL,PP 23 x 36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-14 14:57:09.090,NULL,5,NULL
