Id,Type,Code,Name,Status,IsPrgCreatedDate,IsPrgUpdatedDate,IsPrgCreatedUserId,IsPrgUpdatedUserId
1,NULL,NULL,VP TP Hồ Chí Minh,1,2016-12-22 16:43:16.907,2017-08-25 16:45:40.427,1,1
2,NULL,NULL,VP Campuchia,1,2017-01-16 08:56:18.777,2017-08-25 12:23:31.337,1,7
3,NULL,NULL,Veasna-095666567,0,2020-07-02 16:22:46.883,2020-07-02 16:34:27.000,3,3
